,playerName,PlayerID,Position,Mins,Passes Completed,Passes Attempted,Pass Completion Rate,Forward Passes,Long Passes,xT via Pass,npxG,xA,Shots,Tackles,Interceptions,Fouls,Aerials,Recoveries,Ball Wins,Touches,Box Touches,Final 1/3 Touches,Progressive Passes,Progressive Carries,Box Passes,Box Carries,Successful Take Ons,xT Carry,xT Received
0,Aaron Cresswell,68049,Attacking Mid/Winger,18,12.0,13.0,0.9230769230769231,8.0,0.0,0.056199389999999995,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,14.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0013619599999999989,0.008973700000000001
1,Aaron Cresswell,68049,Center Back,43,39.0,46.0,0.8478260869565217,24.0,0.0,0.04876229999999998,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,48.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.002714639999999999,0.00572041
2,Aaron Cresswell,68049,Forward,47,24.0,31.0,0.7741935483870968,14.0,4.0,0.09084903,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,34.0,0.0,8.0,9.0,1.0,0.0,0.0,0.0,0.010451069999999998,0.019297809999999995
3,Aaron Cresswell,68049,Full Back,264,135.0,165.0,0.8181818181818182,66.0,7.0,0.8143397099999999,0.0,0.5016327202320099,0.0,1.0,2.0,3.0,3.0,11.0,2.0,182.0,0.0,47.0,16.0,2.0,6.0,0.0,0.0,0.04935917,0.10561653000000001
4,Aaron Hickey,402367,Full Back,761,243.0,277.0,0.8772563176895307,93.0,9.0,0.33528991999999996,0.28850405290722847,0.06884780526161194,7.0,16.0,3.0,26.0,1.0,42.0,10.0,385.0,7.0,79.0,8.0,9.0,3.0,3.0,5.0,0.11571235999999997,0.36748559999999997
5,Aaron Ramsdale,316858,Goalkeeper,590,131.0,188.0,0.6968085106382979,131.0,23.0,0.28048814999999994,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,210.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.030235500000000005,0.01931915
6,Aaron Ramsey,423732,Attacking Mid/Winger,311,49.0,66.0,0.7424242424242424,11.0,1.0,0.028696279999999998,0.0923540499061346,0.0,2.0,5.0,1.0,6.0,0.0,15.0,2.0,111.0,4.0,26.0,2.0,0.0,0.0,0.0,2.0,0.01549025,0.2396986
7,Aaron Ramsey,423732,Center Mid,201,54.0,67.0,0.8059701492537313,22.0,6.0,0.3345945099999999,0.38205623626708984,0.249614417552948,3.0,11.0,0.0,3.0,3.0,7.0,6.0,107.0,5.0,36.0,5.0,1.0,2.0,1.0,1.0,0.05135283,0.17454825999999996
8,Aaron Ramsey,423732,Forward,75,15.0,17.0,0.8823529411764706,5.0,0.0,0.018482769999999996,0.029317548498511314,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,32.0,2.0,10.0,0.0,2.0,0.0,2.0,0.0,0.06359236,0.09227008000000002
9,Aaron Wan-Bissaka,331924,Center Back,8,10.0,11.0,0.9090909090909091,6.0,0.0,0.02861754,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0009752799999999985,0.004989629999999998
10,Aaron Wan-Bissaka,331924,Full Back,1642,719.0,871.0,0.8254879448909299,358.0,13.0,1.6264822700000001,0.09221870824694633,1.1427226420491934,2.0,36.0,37.0,25.0,17.0,84.0,42.0,1122.0,20.0,250.0,37.0,17.0,17.0,5.0,16.0,0.43965386000000006,1.05035315
11,Abdoulaye Doucouré,116317,Attacking Mid/Winger,2123,512.0,676.0,0.757396449704142,239.0,13.0,1.7857324600000002,7.980771340429783,2.9842842519283295,38.0,26.0,12.0,43.0,18.0,111.0,30.0,961.0,79.0,399.0,42.0,28.0,20.0,24.0,16.0,1.1274764499999999,4.454410630000001
12,Abdoulaye Doucouré,116317,Center Mid,544,129.0,159.0,0.8113207547169812,61.0,2.0,0.24310378000000002,0.8066059425473213,0.27833607234060764,5.0,16.0,3.0,14.0,4.0,27.0,12.0,237.0,18.0,94.0,7.0,5.0,3.0,3.0,7.0,0.26589487,0.94020492
13,Adam Lallana,21683,Attacking Mid/Winger,741,360.0,404.0,0.8910891089108911,148.0,3.0,1.24655272,0.5028134733438492,1.5707742776721716,8.0,4.0,3.0,17.0,2.0,18.0,4.0,480.0,32.0,179.0,18.0,5.0,22.0,5.0,3.0,0.24058319000000003,1.7384168800000002
